item_num_display,description_long,on_hand,sold,oh_avail,in_transit,due_maker,total_inventory,prod_line,item_group_id,sbu_id,company,item_num,ele1,ele2,upc_num,intransit1,etadt1,container1,lotnum1,mpq1,intransit2,etadt2,container2,lotnum2,mpq2,intransit3,etadt3,container3,lotnum3,mpq3,duemaker1,availdt1,duemaker2,availdt2,duemaker3,availdt3,collection_group_code
100MASTER,ASSORTMENT 100,0,0,0,0,0,0,FRED,WIN ,CDL,CDL,100MASTER, , ,848322037188,,,,,,,,,,,,,,,,,,,,,,DISC      
101CAMERAS-250-106,SHOWER CURTAINS,0,0,0,0,0,0,NA  ,GEN ,TL ,CDL,101CAMERAS,250,106,,,,,,,,,,,,,,,,,,,,,,,DISC      
104PACKA,104 PACK A,0,3500,-3500,0,0,-3500,BUR ,TAB ,CDL,CDL,104PACKA, , ,848322097014,,,,,,,,,,,,,,,,,,,,,,DISC      
104PACKB,104 PACK B,0,3500,-3500,0,0,-3500,BUR ,TAB ,CDL,CDL,104PACKB, , ,848322097021,,,,,,,,,,,,,,,,,,,,,,DISC      
104PACKC,104 PACK C,0,3500,-3500,0,0,-3500,BUR ,TAB ,CDL,CDL,104PACKC, , ,848322097038,,,,,,,,,,,,,,,,,,,,,,DISC      
104PACKDD,ASST 104 INCH TABLECLOTH - PACK DD,0,3500,-3500,0,0,-3500,BUR ,TAB ,CDL,CDL,104PACKDD, , ,848322097748,,,,,,,,,,,,,,,,,,,,,,IN/OUT    
104PACKEE,ASST 104 INCH TABLECLOTH - PACK EE,0,3500,-3500,0,0,-3500,BUR ,TAB ,CDL,CDL,104PACKEE, , ,848322097755,,,,,,,,,,,,,,,,,,,,,,IN/OUT    
104PACKFF,ASST 104 INCH TABLECLOTH - PACK FF,0,3500,-3500,0,0,-3500,BUR ,TAB ,CDL,CDL,104PACKFF, , ,848322097762,,,,,,,,,,,,,,,,,,,,,,IN/OUT    
1STLOVE-600-206,HE FIRST LOVED US KT 16X26,0,0,0,0,0,0,ROSS,KIT ,CDL,CDL,1STLOVE,600,206,,,,,,,,,,,,,,,,,,,,,,,DISC      
201523,LOWES SIDESTACK PDQ,0,0,0,0,0,0,NA  ,GEN ,CDL,CDL,201523, , ,,,,,,,,,,,,,,,,,,,,,,,DISC      
201524,LOWES PDQ ARTWORK,0,0,0,0,0,0,NA  ,GEN ,CDL,CDL,201524, , ,,,,,,,,,,,,,,,,,,,,,,,DISC      
